ts,rpm,speed_kmh,vbatt_v,load_raw,thr_raw6,thr_raw7,t_raw_a,t_oil_a_c,t_cool_a_c,t_raw_b,t_oil_b_c,t_cool_b_c,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768393602.791753,510,14.8,13.5,137,16,0,90,23.6,19.5,134,58.7,52.5,18,38,160,8,32,0,16,0,0,148,90,155,134,118,118,1,254,1,32,137,139,140,91,135,94,58,128,0,254,128,0,0
1768393602.9807508,495,14.8,13.4,137,16,0,90,23.6,19.5,134,58.7,52.5,18,38,160,8,26,0,16,0,0,148,90,155,134,118,118,1,239,1,32,137,139,141,91,134,91,85,128,0,254,128,0,0
1768393603.173802,489,14.8,13.4,137,16,0,90,23.6,19.5,134,58.7,52.5,18,38,160,8,18,0,16,0,0,148,90,155,134,118,118,1,233,1,32,137,180,142,91,134,88,112,128,0,254,128,0,0
1768393603.3880167,510,14.9,13.5,137,16,0,90,23.6,19.5,134,58.7,52.5,18,38,160,8,10,0,16,0,0,149,90,155,134,118,118,1,254,1,32,137,222,139,92,135,95,51,128,0,254,128,0,0
1768393603.6398013,525,15.1,13.4,137,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,12,0,16,0,0,151,91,155,134,118,118,2,13,1,32,137,209,141,92,134,99,2,128,0,254,128,0,0
1768393603.8276553,532,15.1,13.4,137,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,20,0,16,0,0,151,91,155,134,118,117,2,20,1,32,137,195,141,90,134,101,231,128,0,254,128,0,0
1768393604.0198226,532,14.9,13.5,137,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,25,0,16,0,0,149,91,155,134,118,117,2,20,1,32,137,180,141,90,135,104,204,128,0,254,128,0,0
1768393604.2112653,527,15.0,13.4,137,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,31,0,16,0,0,150,91,155,134,118,117,2,15,1,32,137,153,141,90,134,105,26,128,0,254,128,0,0
1768393604.4081187,534,15.1,13.4,138,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,37,0,16,0,0,151,91,155,134,118,117,2,22,1,32,138,181,139,91,134,105,26,128,0,254,128,0,0
1768393604.6595628,533,15.1,13.4,138,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,44,0,16,0,0,151,91,155,134,118,118,2,21,1,32,138,140,141,90,134,105,26,128,0,254,128,0,0
1768393604.8508132,533,15.1,13.4,138,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,49,0,16,0,0,151,91,155,134,118,116,2,21,1,32,138,126,141,90,134,105,26,128,0,254,128,0,0
1768393605.0431273,513,15.1,13.4,138,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,51,0,16,0,0,151,91,155,134,118,117,2,1,1,32,138,125,140,91,134,98,18,128,0,254,128,0,0
1768393605.2349494,504,15.1,13.5,138,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,51,0,16,0,0,151,91,155,134,118,117,1,248,1,32,138,125,139,91,135,94,244,128,0,254,128,0,0
1768393605.426507,498,15.1,13.5,138,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,42,0,16,0,0,151,91,155,134,118,117,1,242,1,32,138,152,139,92,135,91,214,128,0,254,128,0,0
1768393605.618399,490,15.1,13.4,137,16,0,91,24.4,20.2,134,58.7,52.5,18,38,160,8,31,0,16,0,0,151,91,155,134,118,118,1,234,1,32,137,154,140,91,134,88,163,128,0,254,128,0,0
